CUSTOMER_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE,SEGMENT,CITY,STATE,COUNTRY,UPDATED_AT
C00001,Deepa,Chopra,deepa.chopra1@mail.com,9849874339,PREMIUM,Jaipur,DL,India,2026-10-27 00:00:00
C00002,Pooja,Shah,pooja.shah2@mail.com,9427552981,PREMIUM,Pune,TS,India,2026-10-18 00:00:00
C00003,Sneha,Singh,,9607727741,VIP,Delhi,TN,India,2024-06-06 00:00:00
C00004,Arun,Rao,arun.rao4@mail.com,9913097077,PREMIUM,Chennai,GJ,India,2024-01-02 00:00:00
C00005,Priya,Kumar,priya.kumar5@mail.com,9301957527,PREMIUM,Mumbai,DL,India,2026-01-21 00:00:00
C00006,Priya,Singh,priya.singh6@mail.com,9175244392,VIP,Bengaluru,WB,India,2024-02-02 00:00:00
C00007,Deepa,Shah,deepa.shah7@mail.com,9952849354,PREMIUM,Chennai,TS,India,2025-08-30 00:00:00
C00008,Meena,Raj,meena.raj8@mail.com,9260537521,REGULAR,Pune,KA,India,2025-04-28 00:00:00
C00009,Anita,Raj,anita.raj9@mail.com,9972692934,VIP,Kolkata,KL,India,2024-08-06 00:00:00
C00010,Neha,Raj,neha.raj10@mail.com,9438922226,VIP,Pune,KL,India,2025-12-28 00:00:00
C00011,Naveen,Patel,,9362588957,VIP,Jaipur,UP,India,2025-12-24 00:00:00
C00012,Amit,Kumar,amit.kumar12@mail.com,9632296924,PREMIUM,Chennai,DL,India,2025-07-16 00:00:00
C00013,Anita,Kumar,anita.kumar13@mail.com,9641472666,PREMIUM,Hyderabad,MH,India,2024-09-15 00:00:00
C00014,Divya,Gupta,divya.gupta14@mail.com,9867651832,PREMIUM,Bengaluru,KA,India,2025-03-16 00:00:00
C00015,Karthik,Saxena,karthik.saxena15@mail.com,9568926551,PREMIUM,Chennai,MH,India,2024-05-29 00:00:00
C00016,Ajay,Nair,ajay.nair16@mail.com,9196740672,PREMIUM,Pune,UP,India,2026-04-19 00:00:00
C00017,Rahul,Jain,rahul.jain17@mail.com,9161382659,REGULAR,Chennai,UP,India,2024-07-19 00:00:00
C00018,John,Jain,john.jain18@mail.com,9216745105,REGULAR,Mumbai,KA,India,2026-07-15 00:00:00
C00019,Sneha,Joshi,sneha.joshi19@mail.com,9516368119,REGULAR,Delhi,WB,India,2024-08-19 00:00:00
C00020,Sneha,Shah,sneha.shah20@mail.com,9526840081,VIP,Jaipur,GJ,India,2025-12-29 00:00:00
C00021,Naveen,Reddy,naveen.reddy21@mail.com,9768997647,PREMIUM,Delhi,KA,India,2026-03-30 00:00:00
C00022,Karthik,Verma,karthik.verma22@mail.com,9329116455,REGULAR,Kochi,TN,India,2025-08-12 00:00:00
C00023,John,Reddy,john.reddy23@mail.com,9973711907,PREMIUM,Mumbai,TS,India,2026-02-24 00:00:00
C00024,Ajay,Joshi,,9808638651,REGULAR,Hyderabad,KL,India,2025-03-09 00:00:00
C00025,Vikram,Reddy,vikram.reddy25@mail.com,9120386957,PREMIUM,Delhi,KL,India,2025-02-08 00:00:00
C00026,Sunita,Sharma,sunita.sharma26@mail.com,9805592698,VIP,Chennai,MH,India,2025-03-11 00:00:00
C00027,Suresh,Reddy,suresh.reddy27@mail.com,9799388170,PREMIUM,Chennai,GJ,India,2026-12-28 00:00:00
C00028,Ajay,David,ajay.david28@mail.com,9231407799,REGULAR,Jaipur,KL,India,2026-09-15 00:00:00
C00029,Priya,Das,priya.das29@mail.com,9916592825,PREMIUM,Pune,TS,India,2026-04-13 00:00:00
C00030,Neha,Reddy,,9606241052,REGULAR,Pune,KL,India,2025-02-22 00:00:00
C00031,Divya,Gupta,divya.gupta31@mail.com,9881126570,REGULAR,Kochi,TS,India,2025-07-21 00:00:00
C00032,Rahul,Singh,rahul.singh32@mail.com,9340228880,PREMIUM,Chennai,TS,India,2024-04-06 00:00:00
C00033,Lakshmi,Raj,lakshmi.raj33@mail.com,9671782047,VIP,Mumbai,DL,India,2026-03-17 00:00:00
C00034,Ravi,Jain,ravi.jain34@mail.com,9502481588,PREMIUM,Pune,MH,India,2024-11-08 00:00:00
C00035,Sneha,Patel,sneha.patel35@mail.com,9622130747,REGULAR,Pune,MH,India,2024-05-06 00:00:00
C00036,Suresh,Verma,suresh.verma36@mail.com,9630901128,REGULAR,Chennai,TS,India,2024-12-06 00:00:00
C00037,Ajay,Menon,ajay.menon37@mail.com,9968666036,PREMIUM,Delhi,DL,India,2024-10-04 00:00:00
C00038,Deepa,Joshi,deepa.joshi38@mail.com,9893471179,PREMIUM,Pune,KA,India,2024-03-08 00:00:00
C00039,Pooja,Patel,,9934100140,VIP,Delhi,GJ,India,2025-08-29 00:00:00
C00040,Vikram,Jain,vikram.jain40@mail.com,9723877558,VIP,Kolkata,UP,India,2024-08-24 00:00:00
C00041,Deepa,Shah,deepa.shah41@mail.com,9164882192,REGULAR,Delhi,MH,India,2024-07-15 00:00:00
C00042,Meena,Singh,meena.singh42@mail.com,9807406494,REGULAR,Kolkata,GJ,India,2025-10-23 00:00:00
C00043,Divya,Chopra,divya.chopra43@mail.com,9343221945,REGULAR,Pune,DL,India,2026-01-02 00:00:00
C00044,John,Rao,john.rao44@mail.com,9916254706,PREMIUM,Kolkata,TN,India,2026-08-29 00:00:00
C00045,Priya,David,priya.david45@mail.com,9197927162,PREMIUM,Bengaluru,TN,India,2026-06-19 00:00:00
C00046,Arun,David,arun.david46@mail.com,9138161517,REGULAR,Kolkata,RJ,India,2025-06-30 00:00:00
C00047,John,Das,john.das47@mail.com,9180900297,PREMIUM,Kolkata,TS,India,2026-10-13 00:00:00
C00048,Sunita,Sharma,sunita.sharma48@mail.com,9940986840,PREMIUM,Kolkata,KL,India,2026-01-27 00:00:00
C00049,Vikram,Gupta,vikram.gupta49@mail.com,9545671848,VIP,Hyderabad,RJ,India,2026-10-02 00:00:00
C00050,Rahul,Mishra,rahul.mishra50@mail.com,9807339579,VIP,Hyderabad,GJ,India,2026-08-31 00:00:00
C00051,Meena,Raj,meena.raj51@mail.com,9556916024,PREMIUM,Mumbai,TS,India,2025-03-19 00:00:00
C00052,Divya,Iyer,divya.iyer52@mail.com,9101610549,REGULAR,Chennai,TS,India,2026-08-25 00:00:00
C00053,Naveen,Nair,naveen.nair53@mail.com,9957420079,VIP,Chennai,KL,India,2024-01-15 00:00:00
C00054,Lakshmi,Reddy,lakshmi.reddy54@mail.com,9859698016,REGULAR,Pune,WB,India,2025-02-15 00:00:00
C00055,Deepa,Joshi,deepa.joshi55@mail.com,9664487081,PREMIUM,Mumbai,GJ,India,2025-02-07 00:00:00
C00056,Vikram,Gupta,vikram.gupta56@mail.com,9956013816,PREMIUM,Chennai,GJ,India,2024-10-31 00:00:00
C00057,Arun,Rao,arun.rao57@mail.com,9748805432,REGULAR,Pune,TN,India,2025-07-02 00:00:00
C00058,Rahul,Shah,,9597585427,PREMIUM,Pune,TS,India,2026-02-04 00:00:00
C00059,Arun,Patel,arun.patel59@mail.com,9500852577,VIP,Kochi,MH,India,2026-05-02 00:00:00
C00060,Amit,Jain,amit.jain60@mail.com,9280240200,REGULAR,Mumbai,RJ,India,2025-10-29 00:00:00
C00061,Pooja,Das,pooja.das61@mail.com,9876230716,VIP,Delhi,RJ,India,2025-08-05 00:00:00
C00062,Pooja,Iyer,pooja.iyer62@mail.com,9742940937,PREMIUM,Jaipur,DL,India,2024-07-26 00:00:00
C00063,Pooja,Rao,pooja.rao63@mail.com,9526556727,REGULAR,Delhi,UP,India,2024-04-04 00:00:00
C00064,Pooja,Singh,pooja.singh64@mail.com,9863195184,VIP,Kochi,WB,India,2025-08-30 00:00:00
C00065,Anita,Reddy,anita.reddy65@mail.com,9534244768,VIP,Ahmedabad,TS,India,2024-01-10 00:00:00
C00066,Meena,Mishra,meena.mishra66@mail.com,9149854818,REGULAR,Kolkata,WB,India,2026-02-06 00:00:00
C00067,Neha,Joshi,neha.joshi67@mail.com,9675804343,REGULAR,Mumbai,TS,India,2025-11-29 00:00:00
C00068,Anita,Jain,anita.jain68@mail.com,9340934090,VIP,Kochi,DL,India,2024-03-18 00:00:00
C00069,Anita,Sharma,anita.sharma69@mail.com,9672323545,VIP,Ahmedabad,MH,India,2024-08-15 00:00:00
C00070,Anita,David,,9263451877,VIP,Ahmedabad,KA,India,2024-06-27 00:00:00
C00071,Ajay,Nair,ajay.nair71@mail.com,9522855277,REGULAR,Mumbai,MH,India,2024-05-18 00:00:00
C00072,Arun,Nair,arun.nair72@mail.com,9622232286,REGULAR,Bengaluru,TN,India,2025-05-17 00:00:00
C00073,Sneha,Shah,sneha.shah73@mail.com,9487094291,VIP,Chennai,UP,India,2026-08-17 00:00:00
C00074,Sunita,Kumar,sunita.kumar74@mail.com,9830145255,VIP,Delhi,GJ,India,2026-08-17 00:00:00
C00075,Ajay,Sharma,,9978963668,VIP,Ahmedabad,RJ,India,2025-12-07 00:00:00
C00076,Suresh,Nair,suresh.nair76@mail.com,9326334648,PREMIUM,Jaipur,TS,India,2025-11-07 00:00:00
C00077,Sneha,Nair,sneha.nair77@mail.com,9896192214,PREMIUM,Mumbai,TN,India,2024-02-28 00:00:00
C00078,Sneha,Patel,sneha.patel78@mail.com,9145403743,REGULAR,Kolkata,MH,India,2026-11-10 00:00:00
C00079,Arun,Gupta,arun.gupta79@mail.com,9396937277,REGULAR,Bengaluru,KA,India,2026-06-15 00:00:00
C00080,Deepa,Rao,deepa.rao80@mail.com,9596265461,VIP,Hyderabad,MH,India,2026-11-18 00:00:00
C00081,Deepa,Sharma,deepa.sharma81@mail.com,9969138402,REGULAR,Kochi,KL,India,2025-01-14 00:00:00
C00082,Sunita,Gupta,sunita.gupta82@mail.com,9886102058,PREMIUM,Delhi,MH,India,2026-08-14 00:00:00
C00083,Sunita,Raj,,9846225210,PREMIUM,Mumbai,WB,India,2024-03-17 00:00:00
C00084,Arun,Jain,arun.jain84@mail.com,9451335444,REGULAR,Ahmedabad,UP,India,2024-05-14 00:00:00
C00085,Pooja,Kumar,pooja.kumar85@mail.com,9208607793,PREMIUM,Ahmedabad,RJ,India,2024-02-26 00:00:00
C00086,Pooja,Singh,pooja.singh86@mail.com,9999721795,VIP,Chennai,RJ,India,2025-07-15 00:00:00
C00087,Suresh,Das,suresh.das87@mail.com,9996028088,PREMIUM,Chennai,MH,India,2025-05-26 00:00:00
C00088,Neha,Joshi,neha.joshi88@mail.com,9692476098,VIP,Kochi,UP,India,2025-06-29 00:00:00
C00089,Priya,Raj,priya.raj89@mail.com,9851550967,REGULAR,Kolkata,MH,India,2026-07-03 00:00:00
C00090,Meena,Iyer,meena.iyer90@mail.com,9997675142,VIP,Delhi,UP,India,2025-05-08 00:00:00
C00091,Arun,Sharma,,9190418348,VIP,Delhi,GJ,India,2026-12-08 00:00:00
C00092,Priya,Reddy,,9905820618,VIP,Bengaluru,GJ,India,2026-05-29 00:00:00
C00093,Anita,Reddy,anita.reddy93@mail.com,9637625409,VIP,Kochi,TN,India,2026-06-19 00:00:00
C00094,John,Kumar,,9244541816,PREMIUM,Hyderabad,WB,India,2026-05-01 00:00:00
C00095,Karthik,Mishra,karthik.mishra95@mail.com,9794686946,PREMIUM,Hyderabad,TN,India,2026-11-27 00:00:00
C00096,Sunita,Shah,sunita.shah96@mail.com,9757564671,REGULAR,Bengaluru,UP,India,2025-02-04 00:00:00
C00097,Meena,David,meena.david97@mail.com,9665678951,VIP,Ahmedabad,KL,India,2025-01-13 00:00:00
C00098,Sunita,Das,sunita.das98@mail.com,9932393669,VIP,Mumbai,TS,India,2024-01-20 00:00:00
C00099,Deepa,Singh,deepa.singh99@mail.com,9398835131,VIP,Kolkata,TS,India,2026-11-14 00:00:00
C00100,John,Joshi,john.joshi100@mail.com,9412199665,REGULAR,Kochi,WB,India,2025-03-10 00:00:00
C00101,Sunita,Nair,,9286645152,PREMIUM,Kochi,KA,India,2024-03-16 00:00:00
C00102,Divya,Patel,divya.patel102@mail.com,9524521614,REGULAR,Pune,UP,India,2025-12-03 00:00:00
C00103,Sunita,Verma,sunita.verma103@mail.com,9803189810,PREMIUM,Pune,WB,India,2026-01-18 00:00:00
C00104,Sneha,Iyer,sneha.iyer104@mail.com,9588764687,PREMIUM,Hyderabad,TS,India,2026-11-04 00:00:00
C00105,Meena,Shah,meena.shah105@mail.com,9185569011,REGULAR,Kolkata,DL,India,2024-09-27 00:00:00
C00106,Deepa,Sharma,deepa.sharma106@mail.com,9336674568,PREMIUM,Kolkata,TN,India,2024-03-20 00:00:00
C00107,Sneha,David,sneha.david107@mail.com,9745951261,VIP,Pune,TN,India,2024-12-10 00:00:00
C00108,Naveen,Chopra,naveen.chopra108@mail.com,9164849832,VIP,Mumbai,RJ,India,2026-12-24 00:00:00
C00109,Meena,Menon,meena.menon109@mail.com,9165752605,REGULAR,Pune,WB,India,2026-06-17 00:00:00
C00110,Vikram,Raj,vikram.raj110@mail.com,9385119951,REGULAR,Hyderabad,GJ,India,2024-07-28 00:00:00
C00111,Karthik,Joshi,karthik.joshi111@mail.com,9214314185,REGULAR,Kolkata,GJ,India,2024-06-06 00:00:00
C00112,Karthik,Chopra,karthik.chopra112@mail.com,9473415330,PREMIUM,Mumbai,TN,India,2024-11-03 00:00:00
C00113,Pooja,David,pooja.david113@mail.com,9163004117,REGULAR,Kolkata,KA,India,2026-12-27 00:00:00
C00114,Neha,Joshi,neha.joshi114@mail.com,9775782860,REGULAR,Ahmedabad,GJ,India,2025-10-08 00:00:00
C00115,Sneha,Raj,sneha.raj115@mail.com,9419442125,REGULAR,Jaipur,KA,India,2026-02-09 00:00:00
C00116,Lakshmi,Nair,lakshmi.nair116@mail.com,9484369891,PREMIUM,Jaipur,KA,India,2024-10-16 00:00:00
C00117,Sneha,Rao,sneha.rao117@mail.com,9989060789,REGULAR,Jaipur,MH,India,2024-12-15 00:00:00
C00118,Rahul,Verma,,9886443437,VIP,Kolkata,MH,India,2026-03-07 00:00:00
C00119,Arun,Rao,arun.rao119@mail.com,9678846038,PREMIUM,Delhi,WB,India,2024-11-30 00:00:00
C00120,Rahul,Chopra,rahul.chopra120@mail.com,9541697289,VIP,Jaipur,MH,India,2026-10-28 00:00:00
C00121,Arun,Gupta,arun.gupta121@mail.com,9285125638,REGULAR,Ahmedabad,GJ,India,2024-01-19 00:00:00
C00122,Vikram,Nair,vikram.nair122@mail.com,9549826318,REGULAR,Kochi,GJ,India,2026-03-11 00:00:00
